City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
180,Kushmurun,KZ,52.4503,64.6311,28.33,83,100,20.13,overcast clouds
181,Zhuhai,CN,22.2769,113.5678,58.78,82,0,11.5,clear sky
182,Urengoy,RU,65.9667,78.3667,-23.66,100,100,3.71,overcast clouds
183,Ahipara,NZ,-35.1667,173.1667,66.09,78,34,2.89,scattered clouds
184,Nantucket,US,41.2835,-70.0995,42.94,52,20,17.27,few clouds
185,Longyearbyen,SJ,78.2186,15.6401,1.4,92,84,4.21,broken clouds
186,Te anau,NZ,-45.4167,167.7167,51.8,69,18,3.24,few clouds
187,Saint george,US,37.1041,-113.5841,48.63,36,0,3.0,clear sky
188,Shelburne,CA,44.0787,-80.2041,27.75,93,97,10.16,overcast clouds
189,Victoria,HK,22.2855,114.1577,60.24,77,79,11.99,broken clouds
190,Pinega,RU,64.7001,43.3936,-4.74,100,100,2.8,overcast clouds
191,Katsuura,JP,35.1333,140.3,42.62,56,4,6.8,clear sky
192,Nakusp,CA,50.2499,-117.8023,8.94,66,94,6.91,overcast clouds
193,Lasa,IT,46.6166,10.7002,34.68,58,100,1.88,overcast clouds
194,Burnie,AU,-41.0667,145.9167,55.94,89,100,5.61,overcast clouds
195,Port hedland,AU,-20.3167,118.5667,75.25,78,0,0.0,clear sky
196,Arraial do cabo,BR,-22.9661,-42.0278,73.36,78,100,10.36,light rain
197,Sangar,RU,63.9242,127.4739,-34.53,95,64,4.99,broken clouds
198,Ayagoz,KZ,47.9714,80.4392,3.58,82,75,2.77,broken clouds
199,Komsomolskiy,UZ,40.4272,71.7189,23.72,86,100,2.3,fog
200,Cabano,PH,10.5869,122.7002,78.08,84,100,15.84,overcast clouds
201,Esperance,AU,-33.8667,121.9,57.76,89,42,4.85,scattered clouds
202,Wau,SS,7.7029,27.9953,81.5,29,100,4.09,overcast clouds
203,Eyrarbakki,IS,63.863,-21.1481,28.45,49,100,43.73,overcast clouds
204,Harboore,DK,56.6175,8.1807,42.15,96,100,24.45,overcast clouds
205,Chimbote,PE,-9.0853,-78.5783,74.62,71,100,10.63,overcast clouds
206,Anloga,GH,5.7947,0.8973,81.28,80,47,11.32,scattered clouds
207,Namatanai,PG,-3.6667,152.4333,78.15,83,89,3.85,light rain
208,Pucara,PE,-15.9803,-71.4606,44.73,54,48,15.26,scattered clouds
209,Weihe,CN,32.9952,105.3247,32.14,46,100,7.49,overcast clouds
210,Korostyshiv,UA,50.3172,29.0563,21.42,74,5,8.03,clear sky
211,Klaksvik,FO,62.2266,-6.589,45.52,99,100,14.18,overcast clouds
212,Husavik,IS,66.0449,-17.3389,23.65,85,100,31.74,light snow
213,Pathein,MM,16.7833,94.7333,71.1,91,100,2.82,overcast clouds
214,Warrnambool,AU,-38.3833,142.4833,50.92,78,5,10.22,clear sky
215,Shunyi,CN,40.125,116.6453,10.35,79,0,2.24,clear sky
216,Padang,ID,-0.9492,100.3543,76.59,84,50,3.98,scattered clouds
217,Poum,NC,-20.2333,164.0167,78.66,81,21,16.49,few clouds
218,Ahuimanu,US,21.4447,-157.8378,74.91,80,75,26.46,broken clouds
219,Tortoli,IT,39.9256,9.6572,53.42,94,0,10.36,clear sky
220,Vostok,RU,46.4856,135.8833,-17.27,98,99,4.72,overcast clouds
221,Bondoukou,CI,8.0333,-2.8,79.84,18,98,2.59,overcast clouds
